Round,Date,Local_Time,GMT_Time,Home_Team,Away_Team
1,"Tuesday, 30 September 2025",19:00,16:00,HAPOEL IBI TEL AVIV,FC BARCELONA
1,"Tuesday, 30 September 2025",20:45,17:45,ANADOLU EFES ISTANBUL,MACCABI RAPYD TEL AVIV
1,"Tuesday, 30 September 2025",20:00,18:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,EA7 EMPORIO ARMANI MILAN
1,"Tuesday, 30 September 2025",21:15,18:15,PANATHINAIKOS AKTOR ATHENS,FC BAYERN MUNICH
1,"Tuesday, 30 September 2025",20:30,18:30,BASKONIA VITORIA-GASTEIZ,OLYMPIACOS PIRAEUS
1,"Tuesday, 30 September 2025",20:45,18:45,VIRTUS BOLOGNA,REAL MADRID
1,"Wednesday, 1 October 2025",19:30,17:30,AS MONACO,ZALGIRIS KAUNAS
1,"Wednesday, 1 October 2025",20:45,17:45,FENERBAHCE BEKO ISTANBUL,PARIS BASKETBALL
1,"Wednesday, 1 October 2025",20:00,18:00,LDLC ASVEL VILLEURBANNE,VALENCIA BASKET
,,,,,
2,"Thursday, 2 October 2025",20:30,18:30,FC BAYERN MUNICH,CRVENA ZVEZDA MERIDIANBET BELGRADE
2,"Thursday, 2 October 2025",20:30,18:30,PARTIZAN MOZZART BET BELGRADE,EA7 EMPORIO ARMANI MILAN
2,"Thursday, 2 October 2025",20:45,18:45,REAL MADRID,OLYMPIACOS PIRAEUS
2,"Friday, 3 October 2025",20:00,17:00,ZALGIRIS KAUNAS,FENERBAHCE BEKO ISTANBUL
2,"Friday, 3 October 2025",20:30,17:30,ANADOLU EFES ISTANBUL,HAPOEL IBI TEL AVIV
2,"Friday, 3 October 2025",19:30,17:30,AS MONACO,DUBAI BASKETBALL
2,"Friday, 3 October 2025",20:00,18:00,LDLC ASVEL VILLEURBANNE,BASKONIA VITORIA-GASTEIZ
2,"Friday, 3 October 2025",21:15,18:15,PANATHINAIKOS AKTOR ATHENS,FC BARCELONA
2,"Friday, 3 October 2025",20:30,18:30,VALENCIA BASKET,VIRTUS BOLOGNA
2,"Friday, 3 October 2025",21:30,19:30,MACCABI RAPYD TEL AVIV,PARIS BASKETBALL
,,,,,
3,"Wednesday, 8 October 2025",21:00,18:00,HAPOEL IBI TEL AVIV,MACCABI RAPYD TEL AVIV
3,"Thursday, 9 October 2025",20:30,18:30,BASKONIA VITORIA-GASTEIZ,PANATHINAIKOS AKTOR ATHENS
3,"Thursday, 9 October 2025",20:30,18:30,EA7 EMPORIO ARMANI MILAN,AS MONACO
3,"Thursday, 9 October 2025",20:30,18:30,PARTIZAN MOZZART BET BELGRADE,ANADOLU EFES ISTANBUL
3,"Thursday, 9 October 2025",20:45,18:45,PARIS BASKETBALL,VIRTUS BOLOGNA
3,"Thursday, 9 October 2025",21:00,19:00,REAL MADRID,LDLC ASVEL VILLEURBANNE
3,"Friday, 10 October 2025",20:45,17:45,FENERBAHCE BEKO ISTANBUL,CRVENA ZVEZDA MERIDIANBET BELGRADE
3,"Friday, 10 October 2025",21:15,18:15,OLYMPIACOS PIRAEUS,DUBAI BASKETBALL
3,"Friday, 10 October 2025",20:30,18:30,FC BARCELONA,VALENCIA BASKET
3,"Friday, 10 October 2025",20:30,18:30,FC BAYERN MUNICH,ZALGIRIS KAUNAS
,,,,,
4,"Tuesday, 14 October 2025",20:45,17:45,FENERBAHCE BEKO ISTANBUL,DUBAI BASKETBALL
4,"Tuesday, 14 October 2025",20:00,18:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,ZALGIRIS KAUNAS
4,"Tuesday, 14 October 2025",20:05,18:05,MACCABI RAPYD TEL AVIV,FC BARCELONA
4,"Tuesday, 14 October 2025",21:15,18:15,OLYMPIACOS PIRAEUS,ANADOLU EFES ISTANBUL
4,"Tuesday, 14 October 2025",20:30,18:30,FC BAYERN MUNICH,EA7 EMPORIO ARMANI MILAN
4,"Wednesday, 15 October 2025",21:15,18:15,PANATHINAIKOS AKTOR ATHENS,LDLC ASVEL VILLEURBANNE
4,"Wednesday, 15 October 2025",20:30,18:30,VALENCIA BASKET,HAPOEL IBI TEL AVIV
4,"Wednesday, 15 October 2025",20:30,18:30,VIRTUS BOLOGNA,AS MONACO
4,"Wednesday, 15 October 2025",20:45,18:45,PARIS BASKETBALL,BASKONIA VITORIA-GASTEIZ
4,"Wednesday, 15 October 2025",20:45,18:45,REAL MADRID,PARTIZAN MOZZART BET BELGRADE
,,,,,
5,"Thursday, 16 October 2025",20:00,16:00,DUBAI BASKETBALL,FC BARCELONA
5,"Thursday, 16 October 2025",20:00,17:00,ZALGIRIS KAUNAS,EA7 EMPORIO ARMANI MILAN
5,"Thursday, 16 October 2025",20:45,17:45,FENERBAHCE BEKO ISTANBUL,FC BAYERN MUNICH
5,"Thursday, 16 October 2025",20:05,18:05,MACCABI RAPYD TEL AVIV,OLYMPIACOS PIRAEUS
5,"Friday, 17 October 2025",19:00,17:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,REAL MADRID
5,"Friday, 17 October 2025",20:30,17:30,ANADOLU EFES ISTANBUL,PANATHINAIKOS AKTOR ATHENS
5,"Friday, 17 October 2025",19:30,17:30,AS MONACO,VALENCIA BASKET
5,"Friday, 17 October 2025",20:00,18:00,LDLC ASVEL VILLEURBANNE,VIRTUS BOLOGNA
5,"Friday, 17 October 2025",20:45,18:45,BASKONIA VITORIA-GASTEIZ,PARTIZAN MOZZART BET BELGRADE
5,"Friday, 17 October 2025",20:45,18:45,PARIS BASKETBALL,HAPOEL IBI TEL AVIV
,,,,,
6,"Wednesday, 22 October 2025",20:05,18:05,MACCABI RAPYD TEL AVIV,REAL MADRID
6,"Thursday, 23 October 2025",20:00,18:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,BASKONIA VITORIA-GASTEIZ
6,"Thursday, 23 October 2025",21:00,18:00,HAPOEL IBI TEL AVIV,AS MONACO
6,"Thursday, 23 October 2025",20:00,18:00,LDLC ASVEL VILLEURBANNE,DUBAI BASKETBALL
6,"Thursday, 23 October 2025",20:30,18:30,EA7 EMPORIO ARMANI MILAN,VALENCIA BASKET
6,"Thursday, 23 October 2025",20:30,18:30,FC BARCELONA,ZALGIRIS KAUNAS
6,"Friday, 24 October 2025",20:30,17:30,ANADOLU EFES ISTANBUL,FENERBAHCE BEKO ISTANBUL
6,"Friday, 24 October 2025",20:00,18:00,VIRTUS BOLOGNA,PANATHINAIKOS AKTOR ATHENS
6,"Friday, 24 October 2025",20:30,18:30,PARTIZAN MOZZART BET BELGRADE,PARIS BASKETBALL
6,"Friday, 24 October 2025",20:45,18:45,FC BAYERN MUNICH,OLYMPIACOS PIRAEUS
,,,,,
7,"Tuesday, 28 October 2025",19:00,18:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE
7,"Tuesday, 28 October 2025",20:00,18:00,ZALGIRIS KAUNAS,VIRTUS BOLOGNA
7,"Tuesday, 28 October 2025",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,MACCABI RAPYD TEL AVIV
7,"Tuesday, 28 October 2025",20:30,19:30,FC BARCELONA,EA7 EMPORIO ARMANI MILAN
7,"Tuesday, 28 October 2025",20:30,19:30,FC BAYERN MUNICH,REAL MADRID
7,"Tuesday, 28 October 2025",20:30,19:30,BASKONIA VITORIA-GASTEIZ,DUBAI BASKETBALL
7,"Tuesday, 28 October 2025",20:45,19:45,PARIS BASKETBALL,ANADOLU EFES ISTANBUL
7,"Tuesday, 28 October 2025",21:00,20:00,VALENCIA BASKET,FENERBAHCE BEKO ISTANBUL
7,"Wednesday, 29 October 2025",20:00,18:00,HAPOEL IBI TEL AVIV,PARTIZAN MOZZART BET BELGRADE
7,"Wednesday, 29 October 2025",21:15,19:15,OLYMPIACOS PIRAEUS,AS MONACO
,,,,,
